state,median_income_2024,source
AL,66659,Census ACS 2024
AK,95665,Census ACS 2024
AZ,81486,Census ACS 2024
AR,62106,Census ACS 2024
CA,100149,Census ACS 2024
CO,97113,Census ACS 2024
CT,96049,Census ACS 2024
DE,87534,Census ACS 2024
DC,109707,Census ACS 2024
FL,77735,Census ACS 2024
GA,79991,Census ACS 2024
HI,100745,Census ACS 2024
ID,81166,Census ACS 2024
IL,83211,Census ACS 2024
IN,71959,Census ACS 2024
IA,75501,Census ACS 2024
KS,75514,Census ACS 2024
KY,64526,Census ACS 2024
LA,60986,Census ACS 2024
ME,76442,Census ACS 2024
MD,102905,Census ACS 2024
MA,104828,Census ACS 2024
MI,72389,Census ACS 2024
MN,87117,Census ACS 2024
MS,59127,Census ACS 2024
MO,71589,Census ACS 2024
MT,75340,Census ACS 2024
NE,76376,Census ACS 2024
NV,81134,Census ACS 2024
NH,99782,Census ACS 2024
NJ,104294,Census ACS 2024
NM,67816,Census ACS 2024
NY,85820,Census ACS 2024
NC,73958,Census ACS 2024
ND,77871,Census ACS 2024
OH,72212,Census ACS 2024
OK,66148,Census ACS 2024
OR,85220,Census ACS 2024
PA,77545,Census ACS 2024
RI,83504,Census ACS 2024
SC,72350,Census ACS 2024
SD,76881,Census ACS 2024
TN,71997,Census ACS 2024
TX,79721,Census ACS 2024
UT,96658,Census ACS 2024
VT,82730,Census ACS 2024
VA,92090,Census ACS 2024
WA,99389,Census ACS 2024
WV,60798,Census ACS 2024
WI,77488,Census ACS 2024
WY,75532,Census ACS 2024